PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
E. Phelps,11,39.41,10.91,21.91,50%,0.27,1.18,23%,7.64,14.45,53%,3.18,0.55,2.91,5.09,13.45,18.55,2.09,4.18,10.55,29.73,PHX
C. Abueva,11,23.23,5.27,11.55,46%,1.09,2.82,39%,3.73,7.55,49%,3.18,0.73,1.27,3.73,5.45,9.18,3.55,2.82,10.36,15.36,PHX
M. Wright,11,30.13,5.09,12.0,42%,2.09,5.36,39%,2.45,3.0,82%,5.45,0.91,0.0,0.36,3.82,4.18,2.18,3.18,5.09,14.73,PHX
J. Perkins,11,27.59,5.55,9.91,56%,0.27,1.09,25%,1.55,2.45,63%,1.91,0.18,0.18,2.45,3.82,6.27,3.73,2.09,7.18,12.91,PHX
R. Jazul,11,23.52,2.36,7.45,32%,1.91,5.55,34%,1.55,2.36,65%,2.45,0.82,0.0,0.45,2.18,2.64,1.64,0.64,2.45,8.18,PHX
J. Chua,11,16.97,2.91,5.18,56%,0.0,0.0,0%,1.18,1.45,81%,0.55,0.64,0.91,1.45,2.45,3.91,2.55,0.91,4.27,7.0,PHX
L. Revilla,11,22.78,2.36,5.09,46%,0.82,2.45,33%,0.73,1.36,53%,4.73,1.82,0.0,0.27,2.55,2.82,2.64,1.27,6.82,6.27,PHX
J. Eriobu,4,8.74,2.25,4.0,56%,0.25,0.75,33%,0.75,1.25,60%,0.25,0.0,0.25,0.5,0.5,1.0,0.75,0.5,-2.0,5.5,PHX
J. Mendoza,3,12.61,2.33,4.0,58%,0.0,0.0,0%,0.67,1.0,67%,1.33,0.33,0.33,0.67,3.0,3.67,1.67,1.0,6.33,5.33,PHX
J. Intal,11,18.08,1.91,6.0,32%,0.55,2.64,21%,0.45,0.82,56%,1.09,0.73,0.55,1.09,2.91,4.0,2.18,0.82,2.82,4.82,PHX
R. Guevarra,1,4.72,1.0,2.0,50%,1.0,2.0,50%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,3.0,PHX
W. Wilson,10,13.75,0.6,1.5,40%,0.2,0.3,67%,0.7,1.0,70%,1.0,0.5,0.2,0.6,2.0,2.6,1.4,0.8,1.1,2.1,PHX
M. Gamboa,4,8.24,0.5,2.75,18%,0.25,1.25,20%,0.75,0.75,100%,1.5,0.25,0.0,0.25,0.5,0.75,0.75,0.5,-1.75,2.0,PHX
G. Alolino,5,3.47,0.2,1.6,13%,0.0,0.4,0%,0.2,0.4,50%,0.8,0.2,0.0,0.0,0.6,0.6,1.0,0.0,-0.4,0.6,PHX
D. Kramer,4,4.75,0.25,1.25,20%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.25,0.0,0.5,1.0,1.5,1.5,1.0,-3.75,0.5,PHX
J. Urbiztondo,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
P. Sorongon,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
M. Simmons,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
L. Hee,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
J. Mendoza,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
J. Javillonar,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
J. McKay,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX
