PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Wright,11,435.24,92,251,37%,27,88,31%,38,70,54%,63,15,11,24,107,131,32,52,-129,249,COL
J. King,11,382.76,78,172,45%,30,81,37%,36,52,69%,34,15,2,25,50,75,24,19,-87,222,COL
R. McCarthy,11,366.57,53,131,40%,17,50,34%,26,40,65%,34,18,1,6,34,40,14,19,-92,149,COL
J. Corpuz,9,177.61,43,72,60%,0,0,0%,15,22,68%,6,6,4,24,24,48,32,12,0,101,COL
E. Camson,5,63.38,16,38,42%,2,11,18%,6,8,75%,4,2,0,10,10,20,8,3,6,40,COL
R. Escoto,11,183.86,25,61,41%,6,18,33%,3,8,38%,10,1,4,21,30,51,31,7,-75,59,COL
J. Reyes,9,144.16,18,38,47%,7,16,44%,5,11,45%,4,6,6,8,19,27,11,6,-65,48,COL
G. Khobuntin,11,195.57,24,63,38%,3,20,15%,7,18,39%,16,2,0,13,17,30,23,13,-125,58,COL
C. Lastimosa,6,63.1,9,26,35%,2,10,20%,5,5,100%,9,0,0,2,3,5,3,6,9,25,COL
J. Gabriel,8,70.35,12,21,57%,0,2,0%,8,11,73%,3,1,1,9,9,18,10,3,-4,32,COL
R. Tubid,9,123.38,11,30,37%,4,10,40%,6,9,67%,12,5,1,8,19,27,9,3,-10,32,COL
P. Cahilig,10,79.74,11,22,50%,3,7,43%,5,7,71%,2,2,2,8,12,20,19,2,-4,30,COL
R. Celda,9,118.97,9,37,24%,6,21,29%,2,3,67%,12,4,0,2,6,8,9,4,-45,26,COL
R. Sara,7,48.1,7,11,64%,1,4,25%,5,10,50%,4,2,0,2,3,5,9,2,19,20,COL
D. Ababou,9,62.57,6,17,35%,2,10,20%,2,2,100%,3,5,0,5,1,6,11,1,44,16,COL
R. Cabrera,9,39.63,5,20,25%,4,13,31%,2,3,67%,2,1,2,3,5,8,0,0,3,16,COL
K. Agovida,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
J. Webb,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
E. Pacquiao,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
J. Apinan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
G. David,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
H. Bagatsing,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
M. Digregorio,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
D. Villamor,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
I. Mashaddy,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
F. Bonifacio,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
K. Wright,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
