PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Durham,11,435.37,114,235,49%,9,20,45%,69,99,70%,78,6,13,67,146,213,26,31,130,306,MER
C. Newsome,11,393.29,64,123,52%,8,20,40%,21,25,84%,60,12,0,20,53,73,24,26,124,157,MER
B. Amer,10,334.19,55,116,47%,17,37,46%,12,13,92%,42,10,0,5,34,39,16,16,96,139,MER
J. Dillinger,11,287.98,34,99,34%,23,71,32%,5,11,45%,14,4,5,3,34,37,31,13,48,96,MER
M. Tolomia,6,98.59,19,35,54%,9,15,60%,5,6,83%,5,5,0,0,10,10,8,14,26,52,MER
G. Lanete,11,268.34,30,87,34%,24,70,34%,9,9,100%,16,4,3,6,25,31,19,8,84,93,MER
R. Hugnatan,11,168.96,34,81,42%,10,28,36%,15,18,83%,7,1,0,7,22,29,10,12,8,93,MER
C. Hodge,9,247.04,29,52,56%,0,3,0%,12,20,60%,14,2,6,22,33,55,25,9,74,70,MER
K. Nabong,11,129.82,14,36,39%,1,4,25%,8,10,80%,6,1,4,12,27,39,29,13,12,37,MER
A. Caram,10,81.49,9,19,47%,3,4,75%,4,4,100%,5,2,0,1,5,6,12,3,-9,25,MER
J. Sedurifa,8,35.57,5,11,45%,1,3,33%,2,2,100%,2,1,0,5,7,12,3,4,-36,13,MER
J. Yeo,2,15.9,1,3,33%,0,1,0%,0,0,0%,2,1,1,2,0,2,1,4,3,2,MER
B. Faundo,7,17.67,3,6,50%,0,0,29%,0,0,0%,0,0,0,1,3,4,4,0,-12,6,MER
J. Chua,5,31.63,2,10,20%,0,0,0%,0,0,0%,1,0,1,2,2,4,5,1,-18,4,MER
J. Uyloan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
R. Buenafe,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
J. Alapag,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
K. Bono,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
M. Jamshidi,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
C. Lutz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
C. Lutz,1,0.0,0,0,50%,0,0,29%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
E. Daquioag,2,13.54,0,2,0%,0,1,0%,0,0,0%,2,0,0,1,4,5,1,1,11,0,MER
S. Atkins,5,28.06,0,3,0%,0,1,0%,0,0,0%,2,0,0,1,1,2,7,1,-14,0,MER
